alpha,qw,q2,mmse,sols,qw_,q2_,mmse_
0.0001,0.0,8.881891508497534e-05,0.9999111810849153,[0.0],nan,nan,nan
0.0250995,0.0,0.02300921807175878,0.9769907819282414,[0.0],nan,nan,nan
0.050099000000000005,0.0,0.04722391105340405,0.9527760889465962,[0.0],nan,nan,nan
0.0750985,0.0,0.07250484082671281,0.9274951591732874,[0.0],nan,nan,nan
0.100098,0.0,0.09857296092572987,0.9014270390742704,[0.0],nan,nan,nan
0.1250975,0.0,0.12509371074656736,0.8749062892534328,[0.0],nan,nan,nan
0.15009699999999998,0.0,0.1517578331051441,0.8482421668948561,[0.0],nan,nan,nan
0.1750965,0.0,0.1782608869838267,0.8217391130161735,[0.0],nan,nan,nan
0.200096,0.0,0.20436267157410432,0.795637328425896,[0.0],nan,nan,nan
0.2250955,0.0,0.2298645136569716,0.7701354863430286,[0.0],nan,nan,nan
0.250095,0.0,0.25462733326391407,0.745372666736086,[0.0],nan,nan,nan
0.2750945,0.0,0.27854765275278665,0.7214523472472135,[0.0],nan,nan,nan
0.30009399999999997,0.0,0.30156546883772256,0.6984345311622776,[0.0],nan,nan,nan
0.3250935,0.0,0.32364539584420754,0.6763546041557925,[0.0],nan,nan,nan
0.350093,0.0,0.3447772793694301,0.65522272063057,[0.0],nan,nan,nan
0.3750925,0.0,0.3649663384879573,0.6350336615120428,[0.0],nan,nan,nan
0.400092,0.0,0.38423105390353085,0.6157689460964693,[0.0],nan,nan,nan
0.4250915,0.0,0.40259776913662154,0.5974022308633785,[0.0],nan,nan,nan
0.450091,0.0,0.4200991965705174,0.5799008034294827,[0.0],nan,nan,nan
0.4750905,0.0,0.4367715703937412,0.563228429606259,[0.0],nan,nan,nan
0.50009,0.0,0.4526527488296576,0.5473472511703424,[0.0],nan,nan,nan
0.5250895,0.0,0.46778205652926436,0.5322179434707358,[0.0],nan,nan,nan
0.550089,0.0,0.4821982644185744,0.5178017355814257,[0.0],nan,nan,nan
0.5750885,0.0,0.4959394416901966,0.5040605583098036,[0.0],nan,nan,nan
0.600088,0.014081987723225673,0.509130948712816,0.49086905128718417,"[0.0, 0.014081987723225673]",nan,nan,nan
0.6250875,0.035457672605609475,0.5220719639696582,0.47792803603034195,"[0.0, 0.035457672605609475]",nan,nan,nan
0.650087,0.05362303576807641,0.5346184229153386,0.46538157708466155,"[0.0, 0.05362303576807641]",nan,nan,nan
0.6750865,0.0693916690233331,0.5466819343669459,0.4533180656330542,"[0.0, 0.0693916690233331]",nan,nan,nan
0.700086,0.08329956645990053,0.5582316598034547,0.44176834019654543,"[0.0, 0.08329956645990053]",nan,nan,nan
0.7250855,0.09571967517033073,0.5692655740492752,0.43073442595072486,"[0.0, 0.09571967517033073]",nan,nan,nan
0.750085,0.10692279331804236,0.5797965861215342,0.42020341387846594,"[0.0, 0.10692279331804236]",nan,nan,nan
0.7750845000000001,0.11711208702373016,0.589845102842121,0.4101548971578791,"[0.0, 0.11711208702373016]",nan,nan,nan
0.800084,0.12644398287140068,0.5994349109824919,0.4005650890175082,"[0.0, 0.12644398287140068]",nan,nan,nan
0.8250835,0.13504153162529967,0.6085909146937559,0.3914090853062442,"[0.0, 0.13504153162529967]",nan,nan,nan
0.850083,0.14300339603629236,0.6173380009003933,0.38266199909960685,"[0.0, 0.14300339603629236]",nan,nan,nan
0.8750825,0.15040990933918422,0.6257003277678087,0.37429967223219135,"[0.0, 0.15040990933918422]",nan,nan,nan
0.900082,0.15732733042734395,0.6337009196898401,0.36629908031015995,"[0.0, 0.15732733042734395]",nan,nan,nan
0.9250815,0.1638109140386615,0.6413614554848805,0.3586385445151195,"[0.0, 0.1638109140386615]",nan,nan,nan
0.9500810000000001,0.16990725899350034,0.6487022774460216,0.35129772255397845,"[0.0, 0.16990725899350034]",nan,nan,nan
0.9750805,0.17565602528448024,0.6557423981942795,0.34425760180572057,"[0.0, 0.17565602528448024]",nan,nan,nan
1.00008,0.18109123217357145,0.6624995298567989,0.3375004701432011,"[0.0, 0.18109123217357145]",nan,nan,nan
1.0250795,0.18624224913206083,0.6689901175990148,0.3310098824009852,"[0.0, 0.18624224913206083]",nan,nan,nan
1.050079,0.1911346167798285,0.6752294435065395,0.3247705564934606,"[0.0, 0.1911346167798285]",nan,nan,nan
1.0750785,0.19579069055767057,0.6812317207509769,0.3187682792490231,"[0.0, 0.19579069055767057]",nan,nan,nan
1.1000780000000001,0.2002301418714475,0.6870101648224436,0.31298983517755646,"[0.0, 0.2002301418714475]",nan,nan,nan
1.1250775,0.20447035601360436,0.6925770532849328,0.30742294671506726,"[0.0, 0.20447035601360436]",nan,nan,nan
1.150077,0.20852676639331785,0.6979437959580697,0.3020562040419304,"[0.0, 0.20852676639331785]",nan,nan,nan
1.1750765,0.21241314627749475,0.703121022857751,0.29687897714224903,"[0.0, 0.21241314627749475]",nan,nan,nan
1.200076,0.21614183509068613,0.7081186439082896,0.29188135609171045,"[0.0, 0.21614183509068613]",nan,nan,nan
1.2250755,0.21972392536323507,0.7129459010693937,0.28705409893060635,"[0.0, 0.21972392536323507]",nan,nan,nan
1.250075,0.22316941456730593,0.7176114098650316,0.2823885901349685,"[0.0, 0.22316941456730593]",nan,nan,nan
1.2750745,0.22648735026427652,0.7221232205590861,0.277876779440914,"[0.0, 0.22648735026427652]",nan,nan,nan
1.300074,0.22968594782978421,0.7264888661871817,0.2735111338128184,"[0.0, 0.22968594782978421]",nan,nan,nan
1.3250735,0.23277268690546155,0.7307154007214375,0.2692845992785626,"[0.0, 0.23277268690546155]",nan,nan,nan
1.350073,0.23575439108913102,0.7348094296894113,0.26519057031058874,"[0.0, 0.23575439108913102]",nan,nan,nan
1.3750725000000001,0.23863730011520395,0.738777143249837,0.26122285675016305,"[0.0, 0.23863730011520395]",nan,nan,nan
1.400072,0.24142713872386515,0.7426243552988433,0.25737564470115676,"[0.0, 0.24142713872386515]",nan,nan,nan
1.4250715,0.24412917071582355,0.7463565309230525,0.2536434690769475,"[0.0, 0.24412917071582355]",nan,nan,nan
1.450071,0.24674824525355002,0.7499788103453685,0.25002118965463155,"[0.0, 0.24674824525355002]",nan,nan,nan
1.4750705,0.249288834763553,0.7534960272512194,0.2465039727487806,"[0.0, 0.249288834763553]",nan,nan,nan
1.50007,0.25175507509505274,0.7569127352745231,0.24308726472547698,"[0.0, 0.25175507509505274]",nan,nan,nan
1.5250695,0.2541507994481963,0.7602332301050003,0.23976676989499973,"[0.0, 0.2541507994481963]",nan,nan,nan
1.5500690000000001,0.25647956623399254,0.7634615667624797,0.23653843323752038,"[0.0, 0.25647956623399254]",nan,nan,nan
1.5750685,0.2587446828340313,0.7666015741111165,0.23339842588888354,"[0.0, 0.2587446828340313]",nan,nan,nan
1.600068,0.2609492266289183,0.7696568683112655,0.2303431316887346,"[0.0, 0.2609492266289183]",nan,nan,nan
1.6250675,0.2630960681003969,0.7726308711001734,0.2273691288998267,"[0.0, 0.2630960681003969]",nan,nan,nan
1.650067,0.2651878887658097,0.7755268228714571,0.22447317712854292,"[0.0, 0.2651878887658097]",nan,nan,nan
1.6750665,0.26722719676360107,0.7783477940596245,0.22165220594037555,"[0.0, 0.26722719676360107]",nan,nan,nan
1.700066,0.2692163395685436,0.7810966938631472,0.21890330613685288,"[0.0, 0.2692163395685436]",nan,nan,nan
1.7250655000000001,0.2711575174797031,0.7837762812266125,0.21622371877338759,"[0.0, 0.2711575174797031]",nan,nan,nan
1.750065,0.27305279679542244,0.7863891763566434,0.21361082364335665,"[0.0, 0.27305279679542244]",nan,nan,nan
1.7750645,0.27490412012221466,0.7889378691522408,0.2110621308477592,"[0.0, 0.27490412012221466]",nan,nan,nan
1.800064,0.2767133154806823,0.7914247266708592,0.2085752733291409,"[0.0, 0.2767133154806823]",nan,nan,nan
1.8250635,0.2784821036980628,0.7938519988953334,0.20614800110466663,"[0.0, 0.2784821036980628]",nan,nan,nan
1.850063,0.28021210751253706,0.7962218273989211,0.20377817260107894,"[0.0, 0.28021210751253706]",nan,nan,nan
1.8750625,0.28190485919229663,0.7985362524761885,0.20146374752381152,"[0.0, 0.28190485919229663]",nan,nan,nan
1.9000620000000001,0.2835618068895501,0.8007972189038555,0.1992027810961446,"[0.0, 0.2835618068895501]",nan,nan,nan
1.9250615,0.2851843200615933,0.8030065807663846,0.1969934192336154,"[0.0, 0.2851843200615933]",nan,nan,nan
1.950061,0.28677369431985483,0.8051661058649514,0.19483389413504865,"[0.0, 0.28677369431985483]",nan,nan,nan
1.9750605,0.2883311574766776,0.8072774820531576,0.19272251794684242,"[0.0, 0.2883311574766776]",nan,nan,nan
2.0000600000000004,0.28985787422555,0.8093423218425302,0.19065767815746987,"[0.0, 0.28985787422555]",nan,nan,nan
2.0250595000000002,0.29135495021564595,0.8113621664409775,0.18863783355902258,"[0.0, 0.29135495021564595]",nan,nan,nan
2.050059,0.2928234352598185,0.8133384888733705,0.18666151112662957,"[0.0, 0.2928234352598185]",nan,nan,nan
2.0750585000000004,0.2942643269359218,0.8152726976577938,0.18472730234220627,"[0.0, 0.2942643269359218]",nan,nan,nan
2.100058,0.2956785745479207,0.8171661411785293,0.18283385882147077,"[0.0, 0.2956785745479207]",nan,nan,nan
2.1250575000000005,0.2970670820640808,0.8190201108410037,0.18097988915899635,"[0.0, 0.2970670820640808]",nan,nan,nan
2.1500570000000003,0.29843071086119205,0.8208358439241212,0.1791641560758788,"[0.0, 0.29843071086119205]",nan,nan,nan
2.1750565,0.2997702817158523,0.822614525684386,0.17738547431561405,"[0.0, 0.2997702817158523]",nan,nan,nan
2.2000560000000005,0.3010865775234315,0.8243572924220771,0.1756427075779229,"[0.0, 0.3010865775234315]",nan,nan,nan
2.2250555000000003,0.30238034591345453,0.826065234446971,0.17393476555302903,"[0.0, 0.30238034591345453]",nan,nan,nan
2.250055,0.3036523011891835,0.8277393983360605,0.17226060166393956,"[0.0, 0.3036523011891835]",nan,nan,nan
2.2750545000000004,0.30490312618879345,0.8293807889463032,0.17061921105369685,"[0.0, 0.30490312618879345]",nan,nan,nan
