alpha,qw,q2,mmse
0.0001,0.0,8.88844993574953e-05,0.9999111155006427
0.01009975,0.0,0.008932825228160282,0.9910671747718399
0.0200995,0.0,0.01768925306224485,0.9823107469377553
0.030099249999999998,0.0,0.026358457191233194,0.973641542808767
0.040099,0.0,0.03494074568292945,0.9650592543170707
0.050098750000000004,0.0,0.043436445135334706,0.9565635548646655
0.0600985,0.0,0.05184590031076044,0.9481540996892398
0.07009825,0.0,0.06016947375296871,0.9398305262470316
0.080098,0.0,0.06840754538929777,0.9315924546107024
0.09009775,0.0,0.07656051211313032,0.9234394878868699
0.1000975,0.0,0.08462878736196805,0.9153712126380322
0.11009725000000001,0.0,0.09261280067144899,0.9073871993285513
0.120097,0.0,0.1005129972247559,0.8994870027752443
0.13009674999999998,0.0,0.10832983738847782,0.8916701626115224
0.14009649999999998,0.0,0.11606379623902784,0.8839362037609724
0.15009625,0.0,0.12371536308027069,0.8762846369197296
0.160096,0.0,0.13128504095341514,0.868714959046585
0.17009575,0.0,0.13877334614021902,0.8612266538597813
0.1800955,0.0,0.14618080766054664,0.8538191923394536
0.19009525,0.0,0.15350796676530384,0.8464920332346964
0.200095,0.0,0.16075537642576138,0.8392446235742388
0.21009475,0.0,0.16792360082025698,0.8320763991797433
0.2200945,0.0,0.1750132148192442,0.824986785180756
0.23009425,0.0,0.18202480346963315,0.8179751965303671
0.24009399999999997,0.0,0.18895896147933838,0.8110410385206619
0.25009375,0.0,0.19581629270292275,0.8041837072970774
0.2600935,0.0,0.20259740962919184,0.7974025903708084
0.27009325,0.0,0.20930293287156376,0.7906970671284365
0.280093,0.0,0.21593349066199982,0.7840665093380004
0.29009275,0.0,0.22248971834925257,0.7775102816507476
0.3000925,0.0,0.22897225790214196,0.7710277420978583
0.31009225,0.0,0.2353817574185407,0.7646182425814595
0.320092,0.0,0.2417188706407055,0.7582811293592947
0.33009174999999996,0.0,0.24798425647755515,0.752015743522445
0.3400915,0.0,0.25417857853445497,0.7458214214655451
0.35009124999999996,0.0,0.2603025046510289,0.7396974953489712
0.360091,0.0,0.26635670644748105,0.7336432935525191
0.37009074999999997,0.0,0.2723418588798684,0.7276581411201317
0.3800905,0.0,0.27825863980472876,0.7217413601952714
0.39009024999999997,0.0,0.28410772955342956,0.7158922704465706
0.40009,0.0,0.2898898105165637,0.7101101894834364
0.41008975,0.0,0.29560556673868604,0.704394433261314
0.4200895,0.0,0.30125568352364296,0.6987443164763572
0.43008925,0.0,0.30684084705071657,0.6931591529492835
0.440089,0.0,0.31236174400176897,0.6876382559982311
0.45008875,0.0,0.3178190611995414,0.6821809388004587
0.4600885,0.0,0.3232134852572283,0.6767865147427717
0.47008825,0.0,0.32854570223941937,0.6714542977605807
0.48008799999999996,0.0,0.33381639733447255,0.6661836026655276
0.49008775,0.0,0.3390262545383514,0.6609737454616488
0.5000875,0.0,0.3441759563499385,0.6558240436500616
0.51008725,0.0,0.3492661834778062,0.650733816522194
0.520087,0.0,0.3542976145584072,0.645702385441593
0.5300867499999999,0.0,0.3592709258856229,0.6407290741143772
0.5400865,0.0,0.3641867911515877,0.6358132088484124
0.55008625,0.0,0.3690458811986867,0.6309541188013134
0.560086,0.0,0.3738488637826101,0.62615113621739
0.57008575,0.0,0.3785964033463258,0.6214035966536743
0.5800855,0.0,0.3832891608048201,0.61671083919518
0.59008525,0.0,0.3879277933404425,0.6120722066595576
0.600085,0.0,0.392512954208675,0.6074870457913252
0.61008475,0.0,0.39704529255413895,0.6029547074458611
0.6200845,0.0,0.40152545323663696,0.5984745467633631
0.63008425,0.0,0.40595407666702427,0.5940459233329759
0.640084,0.0,0.4103317986526912,0.5896682013473089
0.65008375,0.0,0.4146592502524325,0.5853407497475677
0.6600834999999999,0.0,0.4189370576404758,0.5810629423595243
0.67008325,0.0,0.4231658419794309,0.5768341580205693
0.680083,0.0,0.4273462193019255,0.5726537806980746
0.69008275,0.0,0.43147880040067976,0.5685211995993203
0.7000824999999999,0.0,0.43556419072677977,0.5644358092732203
0.71008225,0.0,0.4396029902958993,0.5603970097041008
0.720082,0.0,0.4435957936022246,0.5564042063977755
0.73008175,0.0,0.44754318953983396,0.5524568104601661
0.7400815,0.0,0.45144576133128195,0.5485542386687182
0.75008125,0.0,0.45530408646314635,0.5446959135368538
0.760081,0.0,0.45911873662828595,0.5408812633717142
0.77008075,0.0,0.46289027767457075,0.5371097223254294
0.7800805,0.0,0.46661926955984073,0.5333807304401593
0.79008025,0.0,0.4703062663128545,0.5296937336871456
