alpha,mmse,qw,q2
0.2,0.7852441100173667,-0.0021564444444444443,0.20674287407407405
0.4,0.6201435319306384,-0.0004568888888888886,0.38114036148148145
0.6,0.48320931232736586,0.019870222222222223,0.5107818903703703
0.8,0.42152699155446827,0.09352177777777777,0.5872820148148148
1.0,0.33444080473952686,0.09844444444444445,0.6634677807407406
1.2,0.29497758164650434,0.3047271111111111,0.7023495348148147
1.4,0.26370949501336666,0.3169706666666666,0.7310645096296295
2.2,0.04699510220449509,0.9705724444444445,0.9527971318518516
3.2,0.007399541128612512,0.996024888888889,0.9926302340740744
3.4,0.0029612058772426246,0.9985173333333336,0.9970793244444444
2.4,0.029024492428029434,0.9831822222222225,0.9706185955555555
3.6,0.003178883430076189,0.9983093333333335,0.9967821511111111
1.6,0.2346923715533703,0.128976,0.7668555614814815
2.6,0.017642102704393915,0.9899715555555554,0.9820942933333334
3.8,0.0017976813579313013,0.9991057777777776,0.9982359466666665
0.2,0.7879239165427596,0.0029368888888888895,0.21168412444444443
0.4,0.6208287263162964,0.024494222222222226,0.3788749748148149
0.6,0.49495043223324253,0.008097777777777777,0.5110762429629631
0.8,0.4128580659687352,0.06612622222222223,0.5940342044444444
1.0,0.3394877143402973,0.09199111111111109,0.6594151111111111
1.2,0.29971801887124616,0.30924444444444443,0.7008054518518517
4.0,0.0005884425578566065,0.9997084444444443,0.9994215348148149
2.8,0.012399049511501963,0.9932017777777778,0.9876096474074074
1.4,0.2530479239398327,0.369655111111111,0.7441166933333332
0.2,0.7910347172627312,-0.01401244444444444,0.19660131555555554
0.4,0.6283854793875043,0.016270222222222224,0.38118186666666676
0.6,0.48103771989826777,0.032778666666666664,0.517470957037037
0.8,0.40001276926093565,0.11350933333333332,0.5983971792592593
1.0,0.34062292192717947,0.10965155555555554,0.6563732148148148
1.2,0.30336323115296837,0.2614844444444444,0.6942303051851852
1.4,0.25683292093989724,0.3434471111111111,0.7392489955555555
0.2,0.795514527978176,0.00045866666666666696,0.1997861451851852
0.4,0.6226093205413097,0.0035644444444444447,0.3767788325925926
0.6,0.4921054666468227,0.00912711111111111,0.5107137422222222
0.8,0.4012743156107944,0.08030755555555556,0.5973168118518519
1.0,0.3420396539017884,0.1322382222222222,0.6540502755555556
1.8,0.2028629272818383,0.5464497777777777,0.7952628148148151
1.2,0.2989277296207208,0.2732071111111111,0.6979974874074074
3.0,0.008733213594384979,0.9952711111111112,0.9912640948148147
1.4,0.25967231451710837,0.38242666666666664,0.7392961185185186
2.0,0.10526426459716004,0.9130186666666666,0.8952422637037035
2.2,0.0497682607754722,0.9691982222222222,0.9508522666666666
3.2,0.004028753828879516,0.9979537777777777,0.9960470518518518
3.4,0.002249204208668851,0.9988533333333335,0.997734234074074
2.4,0.030023941596386473,0.9827324444444444,0.9702212977777778
3.6,0.0028347268626575627,0.9985386666666669,0.9971654162962963
1.6,0.23477271222522547,0.13295111111111113,0.7654776177777778
2.6,0.01632190833551057,0.9909315555555557,0.9838885214814814
3.8,0.0018673825973561536,0.9990844444444442,0.9981916681481481
4.0,0.0017995978191669081,0.9990986666666665,0.9982222459259259
2.8,0.010794405402436966,0.9940444444444444,0.9891547496296295
3.2,0.0065119341462806036,0.996600888888889,0.9934888770370368
1.8,0.20951770668120415,0.5249244444444445,0.7915980800000001
3.0,0.006933032946950714,0.9962239999999999,0.993000296296296
3.4,0.0020974913729388213,0.9989315555555557,0.9978909629629628
3.6,0.001553007679399612,0.9991999999999998,0.9984337066666668
