alpha,mmse,qw,q2
0.2,0.790529337004296,0.010049777777777779,0.20529329777777774
0.4,0.6173414976232019,0.002481777777777778,0.3751975348148149
0.6,0.49276018045082226,-0.00014222222222222224,0.5055912296296298
0.8,0.4029703289388559,-0.0061155555555555555,0.5953257244444444
1.0,0.3427884647962444,-0.013054222222222222,0.6567395792592593
1.2,0.2986503087176143,0.02132977777777778,0.7015218251851851
1.4,0.27138883665428937,-0.021303111111111116,0.7262431525925928
1.6,0.24000147438754818,0.010040888888888887,0.7645570844444444
0.2,0.772527587270736,0.0010346666666666666,0.21487630222222218
0.4,0.6169632826547848,0.005436444444444443,0.37634322962962957
0.6,0.49289516525623817,-0.004453333333333334,0.5120885807407407
0.8,0.40492759438735015,-0.0002488888888888888,0.5959504118518519
1.0,0.33720535637013244,0.020001777777777775,0.6621363911111112
1.2,0.2948064011481905,0.0029440000000000004,0.6986012444444445
1.4,0.26508931210009984,-0.007452444444444445,0.7385232592592591
0.2,0.804067435200857,0.0023626666666666666,0.20062542222222224
0.4,0.6059041859993124,0.002522666666666667,0.3870992829629629
0.6,0.4848474690330573,0.010344888888888886,0.5077737955555555
0.8,0.399842772948616,-0.008218666666666668,0.6021934696296296
1.0,0.3479034906883634,0.005861333333333334,0.6544828444444445
1.2,0.3060650507954341,0.03225599999999999,0.694900811851852
1.4,0.26349350903886076,0.013685333333333332,0.736842571851852
0.2,0.805417642869361,0.0005155555555555556,0.19818676148148145
0.4,0.6166962419281291,-0.023719111111111114,0.3800971377777778
0.6,0.500518834113803,-0.005482666666666667,0.5012539733333333
0.8,0.40428628908719666,-0.011116444444444443,0.5939303111111112
1.0,0.3426046010997174,0.018257777777777776,0.6585831348148149
1.8,0.20731757202486228,-0.009420444444444445,0.7885936592592593
1.2,0.2984202011385388,0.029701333333333337,0.7053698133333335
1.4,0.25953612733517756,0.0016284444444444445,0.7341591229629627
2.0,0.20112810095505246,0.01855288888888889,0.8000494459259258
1.6,0.23822077179493914,-0.005806222222222223,0.7610382222222224
1.8,0.21415057939847681,0.011072,0.7885323851851852
2.0,0.19873747007758374,-0.016762666666666665,0.8035505066666667
1.6,0.23208514263291863,-0.002593777777777778,0.7669007407407407
1.8,0.21922964675146794,0.020264888888888888,0.7809743881481482
2.0,0.19622059228532468,-0.006510222222222222,0.803908408888889
1.6,0.2381800277472167,-0.009393777777777777,0.7649137303703704
1.8,0.21417394872005333,-0.0004622222222222222,0.7860295585185186
2.0,0.19980195219675198,-0.005260444444444445,0.7987460503703703
