alpha,qw,e1,e2,e3,e4,e5,e6
0.6,0.025717634051962413,-0.002203206191265872,0.7444321621522021,0.9717637295792642,0.9874430930547591,0.9986959365022967,0.9992494324010952
0.8,0.011992482034273078,-0.0011931453841901583,0.7712085734291505,0.9774943184325288,0.9916236237421615,0.9992439815237445,0.9996112859508228
1.0,0.028605417357656163,-0.001958208955223921,0.8336268288188688,0.9763365057969412,0.9935462418826689,0.9988527903859247,0.9996908751687579
0.6,0.012194140409065784,0.006160309563294585,0.7370935190713102,0.9624572309612434,0.9866648970605737,0.9976961789002335,0.9991857794778058
1.2,0.02808535102266446,-0.0016990602542840962,0.9453069467477427,0.9837123331097598,0.9981530292866204,0.9995189429293614,0.9998999432217547
1.4,-0.004244555002763958,3.803206191264406e-05,0.9059742944536574,0.9777694238535718,0.996534554159245,0.9992047250459765,0.9998034499271266
0.8,0.007875290215588724,0.0034609176340519073,0.7724068958909158,0.9646849152558197,0.9905547358447925,0.998324341256676,0.9995347711808686
1.6,0.016483803206191267,3.44941956882245e-05,0.9449558960751797,0.9702772537313431,0.9968732303087032,0.9983567686259822,0.9997679811200194
0.6,0.012003980099502487,0.00223681592039799,0.7549183976414224,0.9633844950064492,0.9879022701773438,0.998070611310869,0.9993593522278413
0.1,0.010754668440895987,0.011692526058993107,0.9292216302210394,0.9772727444271949,0.9967462322423859,0.999144708315806,0.9998269584467471
0.2,0.015498957640275006,0.00991119982257712,0.8650448980557404,0.9709553689460585,0.9940318602609628,0.9987474487155462,0.9996767085587372
0.3,0.01331878465291639,0.005589177201153253,0.8195840141938344,0.973290327402479,0.9926374531163649,0.998792573781946,0.9996145134308535
1.8,0.004269320066334992,0.0,0.9707932515201769,0.9827408267108901,0.9997427189527918,0.9996232863511121,1.0000546120274045
1.0,-0.01404090657822001,-0.0028302929795468,0.8471875879859959,0.9775941282427372,0.993255480194943,0.9991909966892496,0.9995888595158059
0.4,0.012553233830845771,0.002297844112769541,0.7573119646213379,0.9750584530385112,0.9885052359425589,0.9988689360143728,0.9993093676780221
0.1,0.013004746063428697,0.02024608560656456,0.9401469322096547,0.978506545766738,0.9977580010320233,0.9992634427745712,0.9998741363502966
0.2,0.009865779552007098,0.005261654468840137,0.8729622237007467,0.9740842128562629,0.9950123739964483,0.9988533038928027,0.9997598807062548
0.3,-0.0007668219117320917,0.007507119095143064,0.8280104632217047,0.9726184585850521,0.9923754647606976,0.9988455699824518,0.9995802317687287
0.4,-0.0037076838032061915,0.010202321724709699,0.7754834951170075,0.9697448558098398,0.9892903131861351,0.9983269513009242,0.9993496926035604
0.1,0.006721490352628077,0.02020527833222445,0.9611833731056405,0.9771418429550776,0.9976615279307,0.9991081484272837,0.9998493078055636
0.2,0.015020270569971166,0.009518385451319555,0.8761843471575367,0.9716755230437889,0.9945574073739467,0.9987831183135282,0.9996995316734792
0.3,0.012058017298735861,0.0018799733865602812,0.7987065820950691,0.9754798894536851,0.9914227656780727,0.9989470116794752,0.9995376857395657
0.8,0.013770259812050857,-0.002001547816473154,0.7906532758430072,0.9724935847773477,0.9914306095391684,0.998684094606451,0.9995847274371736
1.2,0.005283803206191266,-0.001676948590381479,0.8823682476506358,0.9761408023585774,0.9947879970686813,0.9991100676234328,0.9997148695238285
0.4,0.02515953565505804,0.004692095080154803,0.77922837368712,0.9753742176623058,0.990364027944819,0.9990546382147707,0.99948673692968
0.1,0.008823242404080726,0.020502284320248407,0.9367370810970651,0.9798918331081048,0.9973631988283251,0.9992931716060474,0.9998524790790465
0.2,0.014810201818585052,0.001955200709691674,0.8966799509129888,0.9757923859619033,0.9954083106908423,0.9989786289952975,0.9997487280939293
0.6,0.0022377003869541185,-0.0014558319513543654,0.7650863784779806,0.9751888179055341,0.9888121362124359,0.9992496197282497,0.9992758715055315
0.3,0.0338150365934797,-0.0024299844754934034,0.8067647531603459,0.9732450931657671,0.9906831762171263,0.9987583111444032,0.999442046713046
0.4,0.02100784964068546,0.003158430071862884,0.7760074059332964,0.9719124240525766,0.9896327470673627,0.9985576635543878,0.9993638771440235
0.1,0.016791661122200045,0.009519804834774845,0.9444849654764546,0.978898558280969,0.9976834364209194,0.9992817306713273,0.9998768562952977
0.2,0.014421645597693501,0.018648214681747644,0.8733803977230723,0.9772644669613858,0.9948713800132015,0.9991963507171141,0.9997375922935489
0.3,0.00975861610113107,0.012356442670215134,0.8246855764027501,0.9739920624449866,0.9916730974940983,0.9987325612729868,0.9994814806731768
0.4,0.02355422885572139,-0.0009852957435047033,0.7679512717892022,0.9738659254443829,0.9890904745073317,0.9986844924695825,0.9993046637581788
0.1,0.00960354845863828,-0.009059569749390152,0.9057405426184668,0.9776836695635889,0.9961606120499216,0.9991367115538633,0.9997958371133188
1.4,0.020239248203427308,0.0015655058043115933,0.8787167451630735,0.9749717536170998,0.9956683156480314,0.9990192717552123,0.9998024289227347
0.2,0.0069038811266356175,-0.0007923708139277383,0.918675090707474,0.9770020036568838,0.9965493866422218,0.9990852349126551,0.9998175051817118
0.3,0.014153736970503436,0.010119494344644049,0.8219875650181118,0.9757554383381385,0.9918314961978331,0.9989776322730074,0.9995269438212343
1.0,0.014186843559977888,0.0019626312880043615,0.826460633130643,0.9688841819544254,0.9920012541741006,0.9985917303309149,0.9995702829489685
0.4,0.011348590381426204,0.0017707020453289412,0.7719771041090842,0.9734374146846017,0.9883022617666566,0.9986291529106328,0.9992429556950932
0.1,0.017782035928143713,0.003222355289421133,0.9373989727212243,0.9795439054454056,0.9978276109619774,0.9994396859821901,0.9999526586831199
0.2,0.010656730982479486,0.01329784874695053,0.8647178342574111,0.9721423284236465,0.9940786444551555,0.9987975975758019,0.9996746376036318
0.3,0.01125393657130184,0.0008487913062763435,0.8398218058697419,0.9690846951706464,0.9925443732238305,0.9985054606556091,0.9995773071800108
0.6,-0.00689264787175235,0.0012975124378109206,0.772120423069836,0.9690420223622627,0.9891723779008498,0.9986949032104937,0.999289701260608
0.4,0.0009967938087341065,0.014429187396351498,0.7681912334623181,0.9731641332301454,0.9890463516905676,0.9988081914984512,0.999345707464143
0.1,0.012010113107119094,-0.0015936127744510026,0.9152062784061505,0.9790840551075626,0.9964615367214148,0.9992603346248917,0.999809057141645
0.2,0.015914836992681303,-0.0034274561987137375,0.8992496453019887,0.9789389890717332,0.9952657459871631,0.9993350639345172,0.9997228896768476
0.8,0.014061249309010504,-0.001489441680486357,0.7990108597751981,0.9654777663288494,0.9907772867484141,0.9982502492327232,0.9994790534932086
