alpha,qw,q2,mmse,sols,qw_,q2_,mmse_,q2_uni,mmse_uni
0.001,0.0,0.0004915919773051648,0.03913136264677951,[0.0],nan,nan,nan,0.0004915919773051648,0.03913136264677951
0.013497499999999999,0.0,0.006687571502576271,0.03891938826505559,[0.0],nan,nan,nan,0.006687571502576271,0.03891938826505559
0.025995,0.0,0.012976920600153955,0.03870421956074219,[0.0],nan,nan,nan,0.012976920600153955,0.03870421956074219
0.0384925,0.0,0.019354504941806662,0.038486032187430165,[0.0],nan,nan,nan,0.019354504941806662,0.038486032187430165
0.05099,0.0,0.025815065765790783,0.03826500605578008,[0.0],nan,nan,nan,0.025815065765790783,0.03826500605578008
0.0634875,0.0,0.03235321140981018,0.03804132562319322,[0.0],nan,nan,nan,0.03235321140981018,0.03804132562319322
0.075985,0.0,0.03896340896045393,0.03781518017949772,[0.0],nan,nan,nan,0.03896340896045393,0.03781518017949772
0.0884825,0.0,0.04563997604917786,0.03758676412762114,[0.0],nan,nan,nan,0.04563997604917786,0.03758676412762114
0.10098,0.0,0.05237707283037709,0.037356277258033484,[0.0],nan,nan,nan,0.05237707283037709,0.037356277258033484
0.1134775,0.0,0.05916869418288497,0.0371239250155464,[0.0],nan,nan,nan,0.05916869418288497,0.0371239250155464
0.125975,0.0,0.06600866218231441,0.036889918756846406,[0.0],nan,nan,nan,0.06600866218231441,0.036889918756846406
0.1384725,0.0,0.0728906188980118,0.03665447599692267,[0.0],nan,nan,nan,0.0728906188980118,0.03665447599692267
0.15097,0.0,0.07980801957498511,0.03641782064232418,[0.0],nan,nan,nan,0.07980801957498511,0.03641782064232418
0.1634675,0.0,0.0867541262679509,0.03618018320894913,[0.0],nan,nan,nan,0.0867541262679509,0.03618018320894913
0.175965,0.0,0.09372200200155358,0.03594180102183321,[0.0],nan,nan,nan,0.09372200200155358,0.03594180102183321
0.1884625,0.0,0.10070450553776349,0.035702918394165326,[0.0],nan,nan,nan,0.10070450553776349,0.035702918394165326
0.20096,0.0,0.10769429278858701,0.035463786578956456,[0.0],nan,nan,nan,0.10769429278858701,0.035463786578956456
0.2134575,0.0,0.11468468054062861,0.03522463421963928,[0.0],nan,nan,nan,0.11468468054062861,0.03522463421963928
0.225955,0.0,0.12167058957985491,0.03498563508425968,[0.0],nan,nan,nan,0.12167058957985491,0.03498563508425968
0.2384525,0.0,0.1286470184219383,0.034746960281605795,[0.0],nan,nan,nan,0.1286470184219383,0.034746960281605795
0.25095,0.0,0.1356088275614503,0.03450878564238869,[0.0],nan,nan,nan,0.1356088275614503,0.03450878564238869
0.2634475,0.0,0.14255073845611774,0.034271291753992524,[0.0],nan,nan,nan,0.14255073845611774,0.034271291753992524
0.275945,0.0,0.1494673330094257,0.03403466397817553,[0.0],nan,nan,nan,0.1494673330094257,0.03403466397817553
0.2884425,0.0,0.15635305361657276,0.033799092449497865,[0.0],nan,nan,nan,0.15635305361657276,0.033799092449497865
0.30094,0.0,0.16320233396872122,0.03356476760029867,[0.0],nan,nan,nan,0.16320233396872122,0.03356476760029867
0.3134375,0.0,0.17001125058050806,0.03333182365929523,[0.0],nan,nan,nan,0.17001125058050806,0.03333182365929523
0.325935,0.0,0.17677708036886225,0.03310035378752013,[0.0],nan,nan,nan,0.17677708036886225,0.03310035378752013
0.3384325,0.0,0.18349707438914892,0.03287045203077144,[0.0],nan,nan,nan,0.18349707438914892,0.03287045203077144
0.35093,0.0,0.19016843084322138,0.032642214243050534,[0.0],nan,nan,nan,0.19016843084322138,0.032642214243050534
0.3634275,0.0,0.19678829614007723,0.03241573805027531,[0.0],nan,nan,nan,0.19678829614007723,0.03241573805027531
0.375925,0.0,0.20335376615212256,0.03219112280730138,[0.0],nan,nan,nan,0.20335376615212256,0.03219112280730138
0.3884225,0.0,0.20986189041014258,0.031968469454405436,[0.0],nan,nan,nan,0.20986189041014258,0.031968469454405436
0.40092,0.0,0.2163102258337637,0.03174786157327937,[0.0],nan,nan,nan,0.2163102258337637,0.03174786157327937
0.4134175,0.0,0.222697526798104,0.031529341778745126,[0.0],nan,nan,nan,0.222697526798104,0.031529341778745126
0.425915,0.0,0.2290227075763317,0.03131294721525628,[0.0],nan,nan,nan,0.2290227075763317,0.03131294721525628
0.4384125,0.0,0.23528468132536554,0.03109871506545511,[0.0],nan,nan,nan,0.23528468132536554,0.03109871506545511
0.45091,0.0,0.24148236085350422,0.030886682523910726,[0.0],nan,nan,nan,0.24148236085350422,0.030886682523910726
0.46340749999999997,0.0,0.2476146594133363,0.03067688676999238,[0.0],nan,nan,nan,0.2476146594133363,0.03067688676999238
0.475905,0.0,0.253680491519239,0.030469364939901506,[0.0],nan,nan,nan,0.253680491519239,0.030469364939901506
0.4884025,0.0,0.2596789055639536,0.03026414958964632,[0.0],nan,nan,nan,0.2596789055639536,0.03026414958964632
0.5009,0.0,0.26560958952731945,0.030061251393936186,[0.0],nan,nan,nan,0.26560958952731945,0.030061251393936186
0.5133975,0.0,0.2714724395781952,0.029860673905000717,[0.0],nan,nan,nan,0.2714724395781952,0.029860673905000717
