alpha,qw,e1,e2,e3,e4,e5,e6
0.2,0.013092038145930362,0.02462417387447324,0.7730290837584091,0.9737719683043788,0.9901534688840852,0.9988834577822437,0.9994436972144402
0.4,0.017911909514304724,0.006652295409181601,0.6163405479411547,0.9602035556738376,0.9785680492281082,0.9976090198781818,0.9984188552577868
0.6,0.008666814322628277,0.005815873015873036,0.5258966939830195,0.9656480216037078,0.9713583930894386,0.9978564787380156,0.9977287162598611
0.2,0.013563273453093811,0.021639210467953002,0.8013096178014341,0.978064828462581,0.991915128536987,0.999103359212247,0.9995758200376296
0.4,0.01654575293856731,-0.0002402306498115227,0.6213961741701782,0.965750758930534,0.979608958096344,0.9979305272316287,0.9985881940003608
0.6,-0.0009290513104466593,0.009996899224806169,0.5107233074935402,0.9656517454214347,0.9705949140068088,0.9980391136380081,0.9977054186643992
0.2,0.022643424262585938,0.006081703260146426,0.7986404908701116,0.9683431493871516,0.9908412286459707,0.9985441433100125,0.9994690875332047
0.4,-0.0023661122200044358,0.002668086050121946,0.6211285068381754,0.9665269504763313,0.9798907271404975,0.9981887649562035,0.9986475723961182
0.6,0.018964341085271317,0.0075753414544112475,0.513514060292851,0.9539799999278125,0.97001361395456,0.9963508941967786,0.9975361154650209
0.2,0.010174850299401197,0.03214868041694387,0.7749082386338434,0.9753553337611198,0.9897938158708757,0.999021841770165,0.9994035009482608
0.4,0.014021379463295632,0.0014467065868263192,0.6223618564352776,0.968268467107267,0.9808161006801277,0.9983966322107158,0.9987471645744721
0.6,0.0022154300479881876,0.0005669988925802561,0.5174129966777408,0.9697844031598376,0.9711077766935236,0.9982632956704407,0.9976516091810645
0.2,0.01762838766910623,0.006495808383233488,0.7804964317291344,0.9764178479426331,0.9903829586416764,0.9992114956539611,0.9994837053338396
0.4,-0.006708715901530273,0.00543943224661791,0.6170925562208917,0.9663933326196987,0.9797134025754318,0.9980146294100163,0.9986408427781002
0.6,0.0040859357696567,0.012074123292727976,0.5230187966039129,0.9630211289643575,0.9722899764531396,0.9978306101060924,0.9979665214242395
0.2,0.004333377689066312,0.020559414504324726,0.7924979007910107,0.9735287468559178,0.9900683723695194,0.9989138016795812,0.9994119173438606
0.4,0.008188068307828785,0.018162430694167172,0.6179630404376432,0.9626371038111432,0.9800308526696666,0.9977294397650054,0.998660368945253
0.8,0.024099944720840247,0.00016097291321176074,0.4186909246360789,0.9700233876150113,0.9633190018864362,0.9987155676266537,0.9969367510219544
0.6,0.01075703211517165,0.008890070136581732,0.5273351150486035,0.9584340565784831,0.971851343832044,0.9972116791870298,0.9978264174079913
0.2,0.011229452206697714,0.04538372144599683,0.7865317116877356,0.9748921224494221,0.9902800521459404,0.9989177147818862,0.9994414220181476
0.4,0.02574051896207585,0.02172117986249722,0.620003077696459,0.9683887296380079,0.9800808403294676,0.998252013363536,0.9986728324123522
0.6,-0.005987153931339978,0.009863418235511288,0.507137779746524,0.959835309081662,0.9703898166949892,0.9975106110736208,0.9977300823147498
0.2,0.021710889332446217,0.012056597915280515,0.788231442300584,0.9720370548345284,0.9901441190145669,0.9986670938023621,0.9994250654420374
0.4,0.013453980927034818,0.02557161233089382,0.6124150868633104,0.9615671426608511,0.9802367323128622,0.9977515163578333,0.998703264068066
0.6,0.022961683277962344,-0.00010158730158730724,0.5182021961363358,0.9574221592748452,0.9709654955594164,0.9971601864277403,0.9977262979323505
0.2,0.01729305832778887,-0.002299046351740885,0.7980732768537,0.9706761557812769,0.9906141908461726,0.9985519512394794,0.9994440965189462
0.4,0.010825992459525393,0.004944422266578002,0.6360335045464626,0.9678730226500085,0.9807462195810651,0.9982386523880469,0.9986987675030667
0.6,0.03791155407899594,0.013805241786637105,0.505010147902055,0.9541791601788276,0.9700779938704183,0.9961637657135598,0.9975556557620708
0.2,0.009854424484364604,0.02117720115324911,0.7994227462112812,0.9724899054670905,0.9910254558986193,0.998821188526263,0.9994897952300106
0.4,0.005920603237968507,-0.00662000443557325,0.6343101459303614,0.9675740790458588,0.9802554868354749,0.9982781557736518,0.9986516481413095
0.6,0.031598375784422296,0.004755112587670769,0.5196310254706533,0.9614811780320742,0.9721734100908085,0.9974907065221692,0.9978615475017459
0.2,0.012804258150365936,0.022303836770902592,0.8090469561617506,0.9781737134047953,0.9914758962204119,0.9991877149524577,0.9995087716605194
0.4,0.024593657130184073,0.023259081836327435,0.627360612700525,0.9640847465602129,0.9805489808440666,0.9979401763335793,0.9986944995448956
0.6,0.004564341085271318,0.005134293097083719,0.5006466740494648,0.9495994188786352,0.9700817683456462,0.9958047045848057,0.9976157551174183
0.2,0.025829585273896647,-0.0020531381681082165,0.8019034878391367,0.9699176715172124,0.9913818330614491,0.9986321415003582,0.9995066940090992
0.4,0.0010375693058327787,0.017240895985806155,0.6385997167147186,0.9634618648293537,0.9803255845488544,0.9981316205429432,0.998608144844592
1.0,0.02801194029850746,0.01785649530127146,0.36520724378109454,0.9506287978969353,0.9571405925827653,0.9961022053187936,0.996405882499291
0.6,0.04022561830933924,0.019237799926171983,0.516606614002707,0.9533481678618597,0.9711553463858141,0.996610727729323,0.9977781430685787
0.2,0.010764958970946994,0.04909931248613875,0.7794742012271753,0.9733279479401691,0.9898454565038549,0.9988077259439131,0.9994019523384728
1.4,0.020891100055279162,1.149806522938276e-05,0.3411616878570112,0.9441772849923223,0.9572381250155477,0.9963935136962395,0.9964048774431474
0.4,9.829230428032842e-05,0.020645642049234903,0.6494593296370224,0.9628055113240186,0.9804694966314023,0.9978066837011375,0.998634511788449
0.6,0.003727427094868955,0.015115245478036284,0.5116051010212871,0.9600025132750912,0.9708231053431223,0.9968319505105537,0.9976242525478477
0.2,0.01787677977378576,0.04590853847859845,0.8099126807126489,0.9712666622586926,0.9907495104867928,0.9985668079931429,0.9993996260407306
0.4,0.014445420270569971,0.02164772676868486,0.6461929781917647,0.964879353060792,0.9809486329241632,0.9979128827081264,0.9986876747654957
