alpha,qw,q2,mmse,sols,qw_,q2_,mmse_,q2_uni,mmse_uni
0.001,0.0,0.0008342071714996235,0.09077867281065122,[0.0],nan,nan,nan,0.0008342071714996235,0.09077867281065122
0.0109975,0.0,0.009285105031755147,0.09010617172663903,[0.0],nan,nan,nan,0.009285105031755147,0.09010617172663903
0.020995,0.0,0.017930563940692288,0.08941818796631142,[0.0],nan,nan,nan,0.017930563940692288,0.08941818796631142
0.0309925,0.0,0.026759990618754337,0.0887155645160709,[0.0],nan,nan,nan,0.026759990618754337,0.0887155645160709
0.04099,0.0,0.03576212902171911,0.08799919710345629,[0.0],nan,nan,nan,0.03576212902171911,0.08799919710345629
0.0509875,0.0,0.044924975989319174,0.08727004090961223,[0.0],nan,nan,nan,0.044924975989319174,0.08727004090961223
0.060985,0.0,0.05423569328160615,0.0865291175692129,[0.0],nan,nan,nan,0.05423569328160615,0.0865291175692129
0.0709825,0.0,0.06368051631769739,0.08577752243280183,[0.0],nan,nan,nan,0.06368051631769739,0.08577752243280183
0.08098,0.0,0.0732446601615937,0.08501643204820282,[0.0],nan,nan,nan,0.0732446601615937,0.08501643204820282
0.09097749999999999,0.0,0.08291222357287413,0.08424711179592302,[0.0],nan,nan,nan,0.08291222357287413,0.08424711179592302
0.100975,0.0,0.09266609229363394,0.08347092358533384,[0.0],nan,nan,nan,0.09266609229363394,0.08347092358533384
0.1109725,0.0,0.10248784311918141,0.08268933348848245,[0.0],nan,nan,nan,0.10248784311918141,0.08268933348848245
0.12097,0.0,0.11235800641938898,0.08190389084930633,[0.0],nan,nan,nan,0.11235800641938898,0.08190389084930633
0.1309675,0.0,0.12226035464367403,0.08111588701525022,[0.0],nan,nan,nan,0.12226035464367403,0.08111588701525022
0.140965,0.0,0.13218080067217958,0.0803264430036937,[0.0],nan,nan,nan,0.13218080067217958,0.0803264430036937
0.1509625,0.0,0.1421042939393132,0.07953675650059197,[0.0],nan,nan,nan,0.1421042939393132,0.07953675650059197
