alpha,qw,q2,mmse,sols,qw_,q2_,mmse_,q2_uni,mmse_uni
0.001,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.0097475,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.018495,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.027242500000000003,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.03599,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.0447375,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.053485000000000005,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.0622325,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.07098,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.0797275,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.088475,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.0972225,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.10597000000000001,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.1147175,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.123465,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.1322125,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.14096,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.1497075,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.158455,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.1672025,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.17595,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.18469750000000001,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.193445,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.2021925,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.21094000000000002,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.2196875,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.228435,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.2371825,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.24593,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.2546775,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.263425,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.2721725,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.28092,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.2896675,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.298415,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.3071625,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.31591,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.3246575,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.333405,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.3421525,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.3509,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.3596475,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.36839500000000003,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.3771425,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.38589,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.39463750000000003,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.403385,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.4121325,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.42088000000000003,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.4296275,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.438375,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.4471225,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.45587,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.4646175,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.473365,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.4821125,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.49086,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.4996075,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.508355,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.5171025,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.52585,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.5345975000000001,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.543345,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.5520925,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.56084,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.5695875,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.578335,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.5870825,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.59583,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.6045775,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.613325,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.6220725,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.63082,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.6395675,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.648315,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.6570625,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.66581,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.6745575,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.683305,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.6920525,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.7008,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.7095475,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.718295,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.7270425,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.73579,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.7445375,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.753285,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.7620325,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.77078,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.7795275,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.7882750000000001,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.7970225,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.80577,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.8145175,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.823265,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.8320125,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.8407600000000001,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.8495075,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.858255,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.8670025,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.87575,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.8844975,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.893245,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.9019925,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.91074,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.9194875,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.928235,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.9369825,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.94573,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.9544775,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.963225,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.9719725,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.98072,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.9894675,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
0.998215,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
1.0069625,0.0,0.0,1.0000000000000002,[0.0],nan,nan,nan,0.0,1.0000000000000002
1.01571,0.0,0.0,1.0000000000000002,"[0.0, 0.7529423665243398, 0.8499570662859602]",0.8499570662859602,0.7224270148676215,0.3859680541248357,0.0,1.0000000000000002
