alpha,mmse,qw,q2
0.2,0.9521583912350207,-0.006554666666666668,0.1947450548148148
0.4,0.8143468965801068,-0.006414222222222222,0.3537720888888889
0.6,0.6897994933544455,0.010220444444444443,0.48036041481481484
0.8,0.5999722454083761,0.18012088888888886,0.5659898785185185
1.0,0.5072554459450547,0.3911217777777778,0.6436215466666667
0.2,0.9846088671950106,0.012636444444444445,0.1805859555555555
0.4,0.8116474590557412,0.006856888888888889,0.35400289185185185
0.6,0.6717362917089222,0.0358151111111111,0.48441671111111106
0.8,0.582046718674675,0.19012266666666666,0.5650386014814816
1.0,0.4913949746824225,0.3699964444444444,0.6528701866666666
0.2,0.9653138325703117,0.008346666666666667,0.18801609481481477
0.4,0.8000764146276044,-0.0066346666666666654,0.3655706548148149
0.6,0.6943433588242192,0.03255466666666667,0.4723576414814815
0.8,0.6075753539788135,0.1658737777777778,0.5590379614814814
1.0,0.5140776592633591,0.36488355555555557,0.6364223288888888
0.2,0.9873217570026572,-0.000535111111111111,0.19050270814814815
0.4,0.80204060458888,0.007662222222222221,0.36182499555555553
0.6,0.689755598510302,0.034936888888888885,0.47230293333333334
0.8,0.5832799199555249,0.2097066666666667,0.571361042962963
1.0,0.52158753860209,0.36203022222222214,0.6358735644444444
