alpha,qw,q2,mmse,sols,mmse_
0.0001,0.0,8.332831740564068e-05,0.09083842585129734,[0.0],nan
0.010099499999999999,0.0,0.008517918968101687,0.09016722245378986,[0.0],nan
0.020099,0.0,0.01714807072156845,0.08948045679819114,[0.0],nan
0.030098499999999997,0.0,0.02596323943714659,0.0887789679605545,[0.0],nan
0.040098,0.0,0.03495222506236598,0.08806364721273667,[0.0],nan
0.0500975,0.0,0.04410308752967426,0.08733544471512356,[0.0],nan
0.060097,0.0,0.05340305901799445,0.08659537649863364,[0.0],nan
0.0700965,0.0,0.06283845287601338,0.08584453171237233,[0.0],nan
0.080096,0.0,0.0723945697301559,0.08508408009532205,[0.0],nan
0.0900955,0.0,0.0820556015695606,0.08431527960901733,[0.0],nan
0.100095,0.0,0.09180453494760148,0.08353948414052294,[0.0],nan
0.1100945,0.0,0.1016230548128401,0.08275815115532359,[0.0],nan
0.12009399999999999,0.0,0.11149167863820253,0.08197283102366315,[0.0],nan
0.13009349999999997,0.0,0.12139374136545844,0.08118484990873875,[0.0],nan
0.140093,0.0,0.1313151757359268,0.08039532724742783,[0.0],nan
0.1500925,0.0,0.14124101400689656,0.07960545413485004,[0.0],nan
0.16009199999999998,0.0,0.15115521507286309,0.07881650708162229,[0.0],nan
0.17009149999999998,0.0,0.16104063852837686,0.0780298500778715,[0.0],nan
0.18009099999999997,0.0,0.17088192090194065,0.0772467057098136,[0.0],nan
0.1900905,0.0,0.18066909510641008,0.0764678671330422,[0.0],nan
0.20009,0.0,0.19039245757750375,0.0756941065326678,[0.0],nan
0.21008949999999998,0.0,0.2000417783990235,0.0749262379795556,[0.0],nan
0.22008899999999998,0.0,0.20960629997441493,0.07416511753603929,[0.0],nan
0.23008849999999997,0.0,0.21907621520951306,0.07341152562587572,[0.0],nan
0.24008799999999997,0.0,0.22844558741636395,0.07266593467568165,[0.0],nan
0.2500875,0.0,0.2377090867255183,0.07192876882299151,[0.0],nan
0.26008699999999996,0.0,0.24686126523468546,0.07120046159809484,[0.0],nan
0.2700865,0.0,0.2558965713038622,0.070481454786466,[0.0],nan
0.280086,0.0,0.26481031990822707,0.06977212121053442,[0.0],nan
0.2900855,0.0,0.27359993137591204,0.06907266615406478,[0.0],nan
0.300085,0.0,0.28226319819555795,0.06838326528522946,[0.0],nan
0.3100845,0.0,0.290798020789684,0.06770408568309569,[0.0],nan
0.320084,0.0,0.299202437677401,0.0670352834373531,[0.0],nan
0.3300835,0.0,0.3074752134354966,0.06637695685985724,[0.0],nan
0.34008299999999997,0.0,0.3156159385387804,0.06572913853958728,[0.0],nan
0.35008249999999996,0.0,0.32362443321513384,0.0650918427823539,[0.0],nan
0.36008199999999996,0.0,0.3315007193544786,0.06446506784621245,[0.0],nan
0.37008149999999995,0.0,0.3392450459969451,0.06384879391317905,[0.0],nan
0.380081,0.0,0.34685800453449095,0.06324297392177702,[0.0],nan
0.3900805,0.0,0.3543404545574387,0.06264753946798192,[0.0],nan
0.40008,0.0,0.3616934769964846,0.06206240453406203,[0.0],nan
0.4100795,0.0,0.3689183721440818,0.06148746564603165,[0.0],nan
0.420079,0.0,0.376016525970372,0.06092261251189128,[0.0],nan
0.4300785,0.0,0.38298934753160824,0.06036773300250704,[0.0],nan
0.44007799999999997,0.0,0.3898384417780793,0.05982269939999297,[0.0],nan
0.45007749999999996,0.0,0.39656562289922953,0.0592873673357402,[0.0],nan
0.46007699999999996,0.0,0.403172823507942,0.05876158301730203,[0.0],nan
0.47007649999999995,0.0,0.4096617905280159,0.0582452074288995,[0.0],nan
0.48007599999999995,0.0,0.41603435513728526,0.057738094850030654,[0.0],nan
0.4900755,0.0,0.4222925334936298,0.057240084839949176,[0.0],nan
0.500075,0.0,0.4284384930427032,0.056751004918810244,[0.0],nan
0.5100745,0.0,0.43447420717036306,0.056270698049556915,[0.0],nan
0.5200739999999999,0.0,0.44040157061511054,0.05579901345369004,[0.0],nan
0.5300735,0.0,0.44622263214550184,0.05533578809538811,[0.0],nan
0.540073,0.0,0.4519395881807614,0.054880847189162814,[0.0],nan
0.5500725,0.0,0.45755451382885126,0.05443402560316933,[0.0],nan
0.560072,0.0,0.4630692874352727,0.05399517386342199,[0.0],nan
0.5700715,0.0,0.46848589943576574,0.05356413357607732,[0.0],nan
0.580071,0.0,0.4738064690279496,0.05314073610074707,[0.0],nan
0.5900704999999999,0.0,0.47903306108859134,0.05272481711975907,[0.0],nan
0.60007,0.0,0.4841674941108513,0.0523162319220256,[0.0],nan
0.6100694999999999,0.0,0.48921165351802076,0.051914830470328355,[0.0],nan
0.620069,0.0,0.4941675324093814,0.05152045415886594,[0.0],nan
0.6300684999999999,0.0,0.49903710935595685,0.051132945537959024,[0.0],nan
0.640068,0.0,0.5038221142813861,0.050752166944658464,[0.0],nan
0.6500675,0.013167151758587197,0.5086003921956055,0.05037192347055902,"[0.0, 0.013167151758587197]",nan
0.660067,0.021494899133424797,0.5133442220058047,0.04999442027233231,"[0.0, 0.021494899133424797]",nan
0.6700665,0.02931359867406393,0.5180497112925677,0.04961996585057477,"[0.0, 0.02931359867406393]",nan
0.680066,0.036680250942048624,0.5227076996723712,0.0492492878013962,"[0.0, 0.036680250942048624]",nan
0.6900655,0.04364286016321148,0.5273114097252483,0.04888292413296023,"[0.0, 0.04364286016321148]",nan
0.7000649999999999,0.05024238379071964,0.531855980157038,0.04852126049243828,"[0.0, 0.05024238379071964]",nan
0.7100645,0.05651386725420774,0.5363379167885688,0.04816457388698814,"[0.0, 0.05651386725420774]",nan
0.7200639999999999,0.062487303653452245,0.5407546016380367,0.047813071758480624,"[0.0, 0.062487303653452245]",nan
0.7300635,0.06818885401192278,0.5451043317112022,0.04746688888999932,"[0.0, 0.06818885401192278]",nan
0.7400629999999999,0.07364154997149273,0.5493861785309684,0.047126098570631665,"[0.0, 0.07364154997149273]",nan
0.7500625,0.07886556094944004,0.5535996501969654,0.046790739474684866,"[0.0, 0.07886556094944004]",nan
0.760062,0.08387858622248984,0.5577445420281593,0.04646082753344888,"[0.0, 0.08387858622248984]",nan
